NAME,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E,B25014_005E,B25014_006E,B25014_011E,B25014_012E,B19013_001E,B03002_001E,B03002_003E,B03002_012E,B03002_004E,B17010_001E,B17010_002E,state,county,tract,block group,GEOID,cost_burden_rate,severe_cost_burden_rate,overcrowding_rate,poverty_rate,pct_hispanic
Block Group 1; Census Tract 1101; Bexar County; Texas,860,233,0,56,153,0,0,0,18,58009,1191,458,513,172,150,0,48,029,110100,1,480291101001,0.513953488372093,0.17790697674418604,1.0,0.0,0.43073047858942065
Block Group 2; Census Tract 1101; Bexar County; Texas,649,53,53,0,287,0,0,13,20,32589,1030,479,522,29,149,0,48,029,110100,2,480291101002,0.6055469953775039,0.4422187981510015,0.6060606060606061,0.0,0.5067961165048543
Block Group 3; Census Tract 1101; Bexar County; Texas,873,91,40,185,174,0,0,0,45,34509,1244,429,792,15,241,45,48,029,110100,3,480291101003,0.561282932416953,0.19931271477663232,1.0,0.18672199170124482,0.6366559485530546
Block Group 1; Census Tract 1103; Bexar County; Texas,475,67,73,0,196,0,0,13,39,37397,1368,287,1025,10,202,11,48,029,110300,1,480291103001,0.7073684210526315,0.4126315789473684,0.75,0.054455445544554455,0.7492690058479532
Block Group 2; Census Tract 1103; Bexar County; Texas,145,0,0,32,0,0,0,0,34,71875,563,172,373,0,96,0,48,029,110300,2,480291103002,0.2206896551724138,0.0,1.0,0.0,0.6625222024866785
Block Group 3; Census Tract 1103; Bexar County; Texas,125,0,9,0,116,0,0,0,0,-666666666,770,47,698,0,241,107,48,029,110300,3,480291103003,1.0,0.928,,0.44398340248962653,0.9064935064935065
Block Group 1; Census Tract 1105; Bexar County; Texas,869,122,68,56,148,0,17,47,33,21146,2543,190,2081,184,567,305,48,029,110500,1,480291105001,0.4533947065592635,0.17031070195627157,0.5154639175257731,0.5379188712522046,0.8183248132127409
Block Group 1; Census Tract 1106; Bexar County; Texas,103,0,4,18,29,22,0,4,0,54211,597,17,574,6,126,20,48,029,110600,1,480291106001,0.49514563106796117,0.2815533980582524,0.0,0.15873015873015872,0.9614740368509213
Block Group 2; Census Tract 1106; Bexar County; Texas,942,133,114,18,344,0,0,0,112,20680,2746,478,1735,423,139,33,48,029,110600,2,480291106002,0.6464968152866242,0.3651804670912951,1.0,0.23741007194244604,0.6318281136198106
Block Group 3; Census Tract 1106; Bexar County; Texas,305,42,35,52,50,0,0,16,0,16471,3945,754,2306,754,100,25,48,029,110600,3,480291106003,0.5868852459016394,0.16393442622950818,0.0,0.25,0.5845373891001268
Block Group 1; Census Tract 1107; Bexar County; Texas,352,16,5,52,80,11,0,36,0,26806,950,126,767,11,169,47,48,029,110700,1,480291107001,0.4346590909090909,0.22727272727272727,0.0,0.2781065088757396,0.8073684210526316
