name,address,city,latitude,longitude
San Antonio Food Bank,5200 Historic Old Hwy 90 W,San Antonio,29.4185,-98.5697
Catholic Charities St. Stephen's CARE Center,2127 S Zarzamora St,San Antonio,29.4032,-98.5254
Family Service Presa Community Center,3721 S Presa St,San Antonio,29.3882,-98.4848
Salvation Army San Antonio,226 W Quincy St,San Antonio,29.4241,-98.4999
Christian Assistance Ministry,110 McCullough Ave,San Antonio,29.4436,-98.4906
SAMMinistries Resource Hub,110 McCullough Ave,San Antonio,29.4436,-98.4906
Society of St. Vincent de Paul,2305 W Commerce St,San Antonio,29.4264,-98.5197
HOPE Help Other People Eat,7804 Eckhert Rd,San Antonio,29.5197,-98.6197
Summit Pantry,4800 Walzem Rd,San Antonio,29.5197,-98.3948
Meals on Wheels San Antonio,5760 Metro Pkwy,San Antonio,29.4851,-98.4697
