GEOID,lat,lon,nearest_grocery_miles,nearest_grocery_name,food_distance_norm,within_half_mile,within_one_mile,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,lapop1share,PovertyRate,MedianFamilyIncome,food_insecurity_high,housing_score,housing_insecurity_high,B19013_001E,poverty_rate,pct_hispanic
480291411022,29.3586125,-98.4387425,0.369001078517033,Progreso LMMM San Antonio 6,0.025083119927858853,1,1,0.0,1.0,1.0,2.67427791554172,17.8294573643411,39044.0,0,0.8322303494717289,1,18287,0.6713615023474179,0.9087546239210852
480291411012,29.3536216,-98.4404088,0.41064518928451915,HEB 444,0.028112313647629745,1,1,1.0,1.0,1.0,16.1599140579016,41.0062893081761,32464.0,1,0.595581171950048,1,35125,0.0515021459227467,0.8703220191470844
480291411013,29.3574237,-98.4436598,0.4770545721725614,Progreso LMMM San Antonio 6,0.032942933917120054,1,1,1.0,1.0,1.0,16.1599140579016,41.0062893081761,32464.0,1,0.1141732283464566,0,49659,0.085201793721973,0.7416317991631799
480291411023,29.3633222,-98.450354,0.5863018660302598,Progreso LMMM San Antonio 6,0.04088958496469343,0,1,0.0,1.0,1.0,2.67427791554172,17.8294573643411,39044.0,0,0.3289760348583877,0,26738,0.3110119047619047,0.8548990276738968
480291411011,29.3580352,-98.4555776,0.9771681505714079,Progreso LMMM San Antonio 6,0.06932120885055272,0,1,1.0,1.0,1.0,16.1599140579016,41.0062893081761,32464.0,1,0.3798185941043084,0,27843,0.1444043321299639,0.5637305699481865
480291412001,29.3868102,-98.4357802,1.3918437117821385,HEB 26,0.09948472015171723,0,0,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.4247104247104247,0,47776,0.2299168975069252,0.9202159568086384
480291412002,29.372497,-98.4377218,0.4122056850473969,LA FIESTA 6,0.0282258241507362,1,1,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.256,0,58676,0.1641025641025641,0.8607888631090487
480291412003,29.3704236,-98.4438091,0.35652886209438966,LA FIESTA 6,0.02417589057506902,1,1,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.0,0,75181,0.0,0.5575221238938053
480291412004,29.3756585,-98.4433115,0.6538675639103683,LA FIESTA 6,0.04580431561732052,0,1,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.3266932270916334,0,42156,0.5178571428571429,0.923582580115037
480291412005,29.3789098,-98.4422723,0.8548665067099619,LA FIESTA 6,0.06042498403808777,0,1,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.7207357859531773,1,-666666666,0.0,0.8645980253878702
480291213002,29.5160673,-98.391352,1.2759928260529054,HEB 384,0.09105772365657579,0,0,0.0,0.0,0.0,10.6874050045501,12.6523684616572,81202.0,1,0.5270270270270271,1,69906,0.0,0.504231311706629
480291213003,29.5136955,-98.3825985,0.7343089901119935,HEB 384,0.05165562708894463,0,1,0.0,0.0,0.0,10.6874050045501,12.6523684616572,81202.0,0,1.0,1,103289,0.146067415730337,0.1633281972265023
480291213001,29.5287697,-98.3779594,1.3183532051824232,HEB 384,0.09413901875596434,0,0,0.0,0.0,0.0,10.6874050045501,12.6523684616572,81202.0,1,0.4260249554367201,0,69447,0.1586998087954111,0.4282363977485928
480291412006,29.3828138,-98.4422748,0.9463038718927235,HEB 26,0.06707614040232149,0,1,1.0,1.0,1.0,13.2066254284214,30.5613018893946,34850.0,1,0.3864734299516907,0,77604,0.3653846153846153,0.9387153800824986
480291708002,29.4338768,-98.5493923,1.0111534647738432,HEB 189,0.0717933015054122,0,0,0.0,1.0,1.0,,40.5458089668616,22750.0,1,0.3147208121827411,0,18348,0.5714285714285714,0.8135942327497425
480291709003,29.4220275,-98.5427242,0.7331595659518156,HEB 205,0.05157201794510185,0,1,0.0,1.0,1.0,,33.6014073887912,29750.0,0,0.0378510378510378,0,40339,0.5397727272727273,0.9482071713147412
480291710005,29.4292559,-98.5609926,0.8602397623418269,HEB 205,0.060815834795008655,0,1,0.0,1.0,1.0,,39.9900315667054,27917.0,0,0.6956521739130435,1,38385,0.1111111111111111,1.0
480291712002,29.4363447,-98.5637028,0.9760369600222359,CULEBRA MEAT MARKET 01,0.06923892602005724,0,1,0.0,1.0,1.0,,21.7532467532468,34067.0,0,0.4091644204851752,0,33571,0.2760416666666667,0.9642416769420468
480291712003,29.4370474,-98.5718643,1.2823022236901203,CULEBRA MEAT MARKET 01,0.09151666940775054,0,0,0.0,1.0,1.0,,21.7532467532468,34067.0,1,0.1751700680272108,0,27610,0.509375,0.9697164948453608
480291817271,29.4722223,-98.6413671,1.6411183525773871,HEB 235,0.11761696412280623,0,0,0.0,0.0,0.0,2.93028352010732,5.33018867924528,65313.0,1,0.4097634022162323,0,82882,0.0326197757390418,0.8014090708938794
480291817121,29.4964701,-98.657401,0.9791185377938485,HEB 235,0.0694630800687503,0,1,0.0,0.0,0.0,5.8028921223660195,6.54425612052731,83088.0,0,0.4268292682926829,0,105250,0.0164203612479474,0.5529361337333905
480291817122,29.4895667,-98.6618497,0.43527065663923703,HEB 235,0.029903570794980704,1,1,0.0,0.0,0.0,5.8028921223660195,6.54425612052731,83088.0,0,0.2164179104477611,0,81154,0.0445026178010471,0.5254010695187166
480291214022,29.4858368,-98.3779266,1.1994058744604117,HEB 294,0.0854867867700686,0,0,1.0,1.0,1.0,15.449776822556998,13.0631831511597,54479.0,1,0.2118380062305296,0,64355,0.2052980132450331,0.4827862289831865
480291214032,29.5031895,-98.3938502,1.411116437193862,La Michoacana Supermarket,0.10088661870841888,0,0,0.0,1.0,1.0,0.0120523008627831,15.1015925315761,42557.0,1,0.0,0,48661,0.2723577235772357,0.7178464606181456
480291620041,29.2747369,-98.7019242,5.921032201091285,HEB Food Store 651,0.4289380107760829,0,0,0.0,0.0,1.0,99.5130031141598,15.6241752441277,44663.0,1,0.6616915422885572,1,63307,0.191358024691358,0.7610773240660296
