Store_Name,Store_Type,Store_Street_Address,City,State,Zip_Code,County,Latitude,Longitude
HEB 262,Supermarket,5601 BANDERA RD,SAN ANTONIO,TX,78238,BEXAR,29.480915,-98.59549
HEB 385,Supermarket,300 W Olmos Dr,San Antonio,TX,78212,BEXAR,29.470903,-98.495605
HEB 556,Supermarket,2118 Fredericksburg Rd,San Antonio,TX,78201,BEXAR,29.464632,-98.526077
CULEBRA MEAT MARKET 01,Supermarket,2800 Culebra Rd,San Antonio,TX,78228,BEXAR,29.447973,-98.554283
LACKLAND AFB COMMISSARY 622,Supermarket,2250 Foulois St,Lackland AFB,TX,78236,BEXAR,29.381905,-98.612213
HEB 585,Supermarket,1520 Austin Hwy,San Antonio,TX,78218,BEXAR,29.494255,-98.432617
HEB 444,Supermarket,3323 SE Military Dr,San Antonio,TX,78223,BEXAR,29.351837,-98.433769
HEB 480,Supermarket,9900 Wurzbach Rd,San Antonio,TX,78230,BEXAR,29.531506,-98.559929
HEB 189,Supermarket,2130 Culebra Rd,San Antonio,TX,78228,BEXAR,29.446712,-98.541122
Fort Sam Houston Commissary 614,Supermarket,2400 Funston Rd,San Antonio,TX,78234,BEXAR,29.449347,-98.445457
HEB 395,Supermarket,12777 W Interstate 10,San Antonio,TX,78230,BEXAR,29.562449,-98.590225
HEB 178,Supermarket,6839 San Pedro Ave,San Antonio,TX,78216,BEXAR,29.503614,-98.500298
HEB 494,Supermarket,10660 W Fm 471,San Antonio,TX,78251,BEXAR,29.493048,-98.702126
HEB 398,Supermarket,2929 Thousand Oaks Dr,San Antonio,TX,78247,BEXAR,29.576752,-98.440575
HEB 294,Supermarket,6580 Fm 78,San Antonio,TX,78244,BEXAR,29.479342,-98.35907
HEB 555,Supermarket,910 Kitty Hawk Rd,Universal City,TX,78148,BEXAR,29.547682,-98.313171
HEB 205,Supermarket,721 Castroville Rd,San Antonio,TX,78237,BEXAR,29.418177,-98.554306
HEB 384,Supermarket,6030 Montgomery,San Antonio,TX,78239,BEXAR,29.510714,-98.370651
HEB 235,Supermarket,9255 Grissom Rd,San Antonio,TX,78251,BEXAR,29.484076,-98.665482
La Michoacana Meat Market San Antonio 1,Supermarket,2323 SW Military Dr,San Antonio,TX,78224,BEXAR,29.356697,-98.531197
HEB Central Market 191,Supermarket,4821 Broadway St,San Antonio,TX,78209,BEXAR,29.470989,-98.46328
HEB 195,Supermarket,11551 West Ave,San Antonio,TX,78213,BEXAR,29.547018,-98.510834
HEB 106,Supermarket,1015 S WW White Rd,San Antonio,TX,78220,BEXAR,29.414858,-98.406593
HEB 566,Supermarket,24165 IH 10 W Ste 300,San Antonio,TX,78257,BEXAR,29.664692,-98.631622
HEB 466,Supermarket,108 N Rosillo St,San Antonio,TX,78207,BEXAR,29.428383,-98.524544
HEB 211,Supermarket,415 N New Braunfels Ave,San Antonio,TX,78202,BEXAR,29.424461,-98.461296
HEB 224,Supermarket,7951 Guilbeau Rd,San Antonio,TX,78250,BEXAR,29.519108,-98.643471
HEB 567,Supermarket,999 E Basse Rd,San Antonio,TX,78209,BEXAR,29.496689,-98.468224
HEB 568,Supermarket,12018 Perrin Beitel Rd,San Antonio,TX,78217,BEXAR,29.548985,-98.407211
HEB 085,Supermarket,10718 Potranco Rd,San Antonio,TX,78251,BEXAR,29.433662,-98.703712
HEB 230,Supermarket,14087 Oconnor Rd,San Antonio,TX,78247,BEXAR,29.570776,-98.386345
HEB 427,Supermarket,735 SW Military Dr,San Antonio,TX,78221,BEXAR,29.356728,-98.502098
HEB 164,Supermarket,15000 San Pedro Ave,San Antonio,TX,78232,BEXAR,29.578541,-98.477104
RANDOLPH AFB COMMISSARY STORE 628,Supermarket,770 3rd St W,Jbsa Randolph,TX,78150,BEXAR,29.53426,-98.285866
HEB 397,Supermarket,18140 San Pedro Ave,San Antonio,TX,78232,BEXAR,29.606667,-98.467003
HEB 084,Supermarket,6818 S Zarzamora St,San Antonio,TX,78224,BEXAR,29.360109,-98.53405
HEB 463,Supermarket,1150 NW LOOP 1604 W,SAN ANTONIO,TX,78258,BEXAR,29.608929,-98.523079
HEB 389,Supermarket,6000 West Ave,San Antonio,TX,78213,BEXAR,29.515671,-98.525902
La Michoacana Meat Market San Antonio 5,Supermarket,1224 N Flores St,San Antonio,TX,78212,BEXAR,29.437426,-98.502426
Sprouts Farmers Market 118,Supermarket,8101 Callaghan Rd,San Antonio,TX,78230,BEXAR,29.513845,-98.551315
Sprouts Farmers Market 123,Supermarket,22135 S Bulverde Rd,San Antonio,TX,78259,BEXAR,29.646177,-98.425232
CULEBRA SUPER MEAT MKT 16,Supermarket,14100 Nacogdoches Rd,San Antonio,TX,78247,BEXAR,29.570818,-98.381744
Progreso LMMM San Antonio 6,Supermarket,2107B Goliad Rd,San Antonio,TX,78223,BEXAR,29.363762,-98.44043
La Michoacana Meat Market,Supermarket,6059 La Cima,San Antonio,TX,78229,BEXAR,29.48765,-98.590652
La Michoacana Supermarket,Supermarket,2020 Austin Hwy,San Antonio,TX,78218,BEXAR,29.502796,-98.417763
LA MICHOACANA MEAT MARKET SAN ANTONIO 3,Supermarket,2510 Pleasanton Rd,San Antonio,TX,78221,BEXAR,29.354092,-98.503082
HEB Food Store 732,Supermarket,17238 Bulverde Rd,San Antonio,TX,78247,BEXAR,29.599382,-98.418167
HEB 26,Supermarket,4100 S New Braunfels Ave,San Antonio,TX,78223,BEXAR,29.379925,-98.457954
Poco Loco Supermercado 23,Supermarket,3025 West Ave,San Antonio,TX,78201,BEXAR,29.487484,-98.52697
TRADER JOE'S SAN ANTONIO (NORTHWEST) 457,Supermarket,11745 W Interstate 10,San Antonio,TX,78230,BEXAR,29.548573,-98.582458
HEB 102,Supermarket,8503 NW Military Hwy,San Antonio,TX,78231,BEXAR,29.552889,-98.53418
HEB 108,Supermarket,20935 US Hwy 281 N,San Antonio,TX,78258,BEXAR,29.641159,-98.457405
HEB Food Store 623,Supermarket,9238 North Loop 1604 West,San Antonio,TX,78250,BEXAR,29.527143,-98.687355
HEB Food Store 651,Supermarket,19337 Mc Donald Street,Lytle,TX,78283,BEXAR,29.23271,-98.789421
HEB 678,Supermarket,368 Valley HI Dr,San Antonio,TX,78227,BEXAR,29.381468,-98.639076
HEB Food Store 658,Supermarket,23635 Wilderness Oak,San Antonio,TX,78258,BEXAR,29.660643,-98.500351
HEB 719,Supermarket,11652 Bandera Rd,San Antonio,TX,78250,BEXAR,29.55139,-98.664551
Trader Joe's 451,Supermarket,350 E Basse Rd,San Antonio,TX,78209,BEXAR,29.496904,-98.478264
Db San Antonio Llc,Supermarket,5500 Babcock Rd,San Antonio,TX,78240,BEXAR,29.516991,-98.597824
HEB Food Store 718,Supermarket,516 S Flores St,San Antonio,TX,78204,BEXAR,29.418961,-98.496971
Vitamin Cottage Natural Food Market U117,Supermarket,1331 NW Military Hwy.,San Antonio,TX,78231,BEXAR,29.541132,-98.527771
Sprouts Farmers Market 161,Supermarket,9702 State Highway 151,San Antonio,TX,78251,BEXAR,29.446503,-98.680099
Trader Joe's 455,Supermarket,403 N Loop 1604 W,San Antonio,TX,78232,BEXAR,29.60886,-98.498276
Vitamin Cottage Natural Food Market U135,Supermarket,6514 N New Braunfels Ave,San Antonio,TX,78209,BEXAR,29.49122,-98.459267
HEB 699,Supermarket,1601 Nogalitos,San Antonio,TX,78204,BEXAR,29.398039,-98.51387
HEB Food Store 618,Supermarket,5910 Babcock Rd,San Antonio,TX,78240,BEXAR,29.526749,-98.603355
HEB 733,Supermarket,12125 Alamo Ranch Parkway,San Antonio,TX,78253,BEXAR,29.484589,-98.734619
LA FIESTA 1,Supermarket,5103 S Flores St,San Antonio,TX,78214,BEXAR,29.375031,-98.499153
LA FIESTA,Supermarket,4107 Blanco Rd,San Antonio,TX,78212,BEXAR,29.484367,-98.508461
LA FIESTA 3,Supermarket,6050 Ingram Rd,San Antonio,TX,78238,BEXAR,29.465469,-98.604034
LA FIESTA 4,Supermarket,3414 Nogalitos,San Antonio,TX,78225,BEXAR,29.381767,-98.527206
LA FIESTA 5,Supermarket,7002 MARCBACH,SAN ANTONIO,TX,78227,BEXAR,29.417381,-98.62767
LA FIESTA 6,Supermarket,6103 PECAN VALLEY,SAN ANTONIO,TX,78224,BEXAR,29.366737,-98.439575
HEB Food Store 771,Supermarket,14325 Fm 1957,San Antonio,TX,78253,BEXAR,29.421389,-98.781059
HEB Food Store 799,Supermarket,7330 N Loop 1604 W,San Antonio,TX,78249,BEXAR,29.5861,-98.634132
La Michoacana Meat Market Sa 4,Supermarket,100 Crossroads Blvd,Balcones Heights,TX,78201,BEXAR,29.489737,-98.550354
