GEOID,lat,lon,housing_score,housing_insecurity_high,nearest_grocery_miles,food_distance_norm,within_half_mile,within_one_mile,LILATracts_1And10,LILATracts_halfAnd10,food_insecurity_high,quadrant,service_gap,nearest_food_bank_miles,nearest_food_bank_name,nearest_wic_miles,nearest_wic_name,nearest_grocery_name,B19013_001E,poverty_rate,pct_hispanic
480291411022,29.3586125,-98.4387425,0.8322303494717289,1,0.369001078517033,0.0250831199278588,1,1,0.0,1.0,0,High Housing Only,0,3.398837648809801,Family Service Presa Community Center,3.1954149774269864,WIC Clinic Pecan Valley,Progreso LMMM San Antonio 6,18287,0.6713615023474179,0.9087546239210852
480291411012,29.3536216,-98.4404088,0.595581171950048,1,0.4106451892845191,0.0281123136476297,1,1,1.0,1.0,1,High Housing + High Food,1,3.542901192003797,Family Service Presa Community Center,3.5467809360013636,WIC Clinic Pecan Valley,HEB 444,35125,0.0515021459227467,0.8703220191470844
480291411013,29.3574237,-98.4436598,0.1141732283464566,0,0.4770545721725614,0.03294293391712,1,1,1.0,1.0,1,High Food Only,0,3.2250853362606757,Family Service Presa Community Center,3.310494673145489,WIC Clinic Pecan Valley,Progreso LMMM San Antonio 6,49659,0.085201793721973,0.7416317991631799
480291411023,29.3633222,-98.450354,0.3289760348583877,0,0.5863018660302598,0.0408895849646934,0,1,0.0,1.0,0,Low Both,0,2.660245586378847,Family Service Presa Community Center,3.0054965600396764,WIC Clinic Pecan Valley,Progreso LMMM San Antonio 6,26738,0.3110119047619047,0.8548990276738968
480291411011,29.3580352,-98.4555776,0.3798185941043084,0,0.977168150571408,0.0693212088505527,0,1,1.0,1.0,1,High Food Only,0,2.7027211035875247,Family Service Presa Community Center,2.911175051832792,WIC Clinic South Flores,Progreso LMMM San Antonio 6,27843,0.1444043321299639,0.5637305699481865
480291412001,29.3868102,-98.4357802,0.4247104247104247,0,1.3918437117821385,0.0994847201517172,0,0,1.0,1.0,1,High Food Only,0,2.893757588028248,Family Service Presa Community Center,1.2426426570927047,WIC Clinic Pecan Valley,HEB 26,47776,0.2299168975069252,0.9202159568086384
480291412002,29.372497,-98.4377218,0.256,0,0.4122056850473969,0.0282258241507362,1,1,1.0,1.0,1,High Food Only,0,2.981463707811844,Family Service Presa Community Center,2.235563333166932,WIC Clinic Pecan Valley,LA FIESTA 6,58676,0.1641025641025641,0.8607888631090487
480291412003,29.3704236,-98.4438091,0.0,0,0.3565288620943896,0.024175890575069,1,1,1.0,1.0,1,High Food Only,0,2.7117230050269048,Family Service Presa Community Center,2.430798376515314,WIC Clinic Pecan Valley,LA FIESTA 6,75181,0.0,0.5575221238938053
480291412004,29.3756585,-98.4433115,0.3266932270916334,0,0.6538675639103683,0.0458043156173205,0,1,1.0,1.0,1,High Food Only,0,2.5962827432694326,Family Service Presa Community Center,2.0725233650782005,WIC Clinic Pecan Valley,LA FIESTA 6,42156,0.5178571428571429,0.923582580115037
480291412005,29.3789098,-98.4422723,0.7207357859531773,1,0.8548665067099619,0.0604249840380877,0,1,1.0,1.0,1,High Housing + High Food,0,2.5897232376462336,Family Service Presa Community Center,1.8400197169171686,WIC Clinic Pecan Valley,LA FIESTA 6,-666666666,0.0,0.8645980253878702
480291213002,29.5160673,-98.391352,0.5270270270270271,1,1.2759928260529054,0.0910577236565757,0,0,0.0,0.0,1,High Housing + High Food,0,0.3228206303102047,Summit Pantry,0.3228206303102047,WIC Clinic Walzem,HEB 384,69906,0.0,0.504231311706629
480291213003,29.5136955,-98.3825985,1.0,1,0.7343089901119935,0.0516556270889446,0,1,0.0,0.0,0,High Housing Only,0,0.8305977623628987,Summit Pantry,0.8305977623628987,WIC Clinic Walzem,HEB 384,103289,0.146067415730337,0.1633281972265023
