CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LowIncomeTracts,LA1and10,LAhalfand10,PovertyRate,MedianFamilyIncome,lapop1share
48029110100,Texas,Bexar County,0,1,1,0,1,20.7608255766896,56985.0,0.621440799393644
48029110300,Texas,Bexar County,0,1,1,0,1,35.1279494848787,42375.0,
48029110500,Texas,Bexar County,0,1,1,0,1,67.964824120603,9684.0,
48029110600,Texas,Bexar County,0,1,1,0,1,51.0811768876285,21923.0,
48029110700,Texas,Bexar County,0,0,1,0,0,33.752244165170595,36765.0,
48029110800,Texas,Bexar County,0,1,1,0,1,26.438188494492,44167.0,3.41147551403094
48029110900,Texas,Bexar County,0,0,0,0,1,13.8184245660881,103235.0,29.2831364727303
48029111000,Texas,Bexar County,1,1,1,1,1,21.5203426124197,42500.0,60.7349494485294
48029120100,Texas,Bexar County,0,0,0,1,1,6.07833163784334,68990.0,87.2657334195315
48029120300,Texas,Bexar County,0,0,0,0,1,4.6751968503937,169181.0,
48029120400,Texas,Bexar County,0,0,0,1,1,0.716189207195203,177195.0,17.438081690654002
48029120501,Texas,Bexar County,1,1,1,1,1,19.0018168216309,45877.0,35.0598002975909
48029120502,Texas,Bexar County,0,1,1,0,1,31.8026292094363,36941.0,1.25836306700535
48029120600,Texas,Bexar County,0,0,0,0,0,19.5958566819494,64181.0,
48029120701,Texas,Bexar County,0,1,1,0,1,15.598935226264398,53295.0,
48029120702,Texas,Bexar County,0,0,0,0,1,7.65645805592543,75430.0,
48029120800,Texas,Bexar County,0,0,0,0,1,2.51359694252536,123026.0,3.2766393458463097
48029120901,Texas,Bexar County,1,1,1,1,1,23.6842105263158,67222.0,88.7056505037956
48029120902,Texas,Bexar County,0,0,0,1,1,16.079762409843,60423.0,22.6422537217976
48029121000,Texas,Bexar County,1,1,1,1,1,17.2409579667644,54120.0,89.3890655070948
48029121108,Texas,Bexar County,0,0,0,1,1,8.929471032745589,77127.0,21.5082384408032
48029121110,Texas,Bexar County,0,0,0,1,1,7.01442402687216,95050.0,36.9284224896801
